Time,Alloy,Scenario,Values
1942.0,Primary castings,Scenario3,0.0
1942.0,Primary castings,Scenario4,0.0
1942.0,Secondary castings,Baseline,0.0
1942.0,Secondary castings,Scenario1,0.0
1942.0,Secondary castings,Scenario2,0.0
1942.0,Secondary castings,Scenario3,0.0
1942.0,Secondary castings,Scenario4,0.0
1943.0,Wrought,Baseline,0.0
1943.0,Wrought,Scenario1,0.0
1943.0,Wrought,Scenario2,0.0
1943.0,Wrought,Scenario3,0.0
1943.0,Wrought,Scenario4,0.0
1943.0,Primary castings,Baseline,0.0
1943.0,Primary castings,Scenario1,0.0
1943.0,Primary castings,Scenario2,0.0
1943.0,Primary castings,Scenario3,0.0
1943.0,Primary castings,Scenario4,0.0
1943.0,Secondary castings,Baseline,0.0
1943.0,Secondary castings,Scenario1,0.0
1943.0,Secondary castings,Scenario2,0.0
1943.0,Secondary castings,Scenario3,0.0
1943.0,Secondary castings,Scenario4,0.0
1944.0,Wrought,Baseline,0.0
1944.0,Wrought,Scenario1,0.0
1944.0,Wrought,Scenario2,0.0
1944.0,Wrought,Scenario3,0.0
1944.0,Wrought,Scenario4,0.0
1944.0,Primary castings,Baseline,0.0
1944.0,Primary castings,Scenario1,0.0
